Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Store_Manage_Suite,IE 11,,,2019-05-27 15:32:03,2019-05-27 15:33:26,1m - 23.170s,PASSED
,,,,,,,
Test Cases/Bank_Manage/Login/Login,IE 11,進入銀行後台,,2019-05-27 15:32:03,2019-05-27 15:32:15,11.604s,PASSED
"openBrowser("""")",IE 11,,,2019-05-27 15:32:04,2019-05-27 15:32:12,7.900s,PASSED
"navigateToUrl(""http://192.168.30.94:8080/ewallet-manage/login?lightID=QRMP01"")",IE 11,,,2019-05-27 15:32:12,2019-05-27 15:32:13,1.658s,PASSED
maximizeWindow(),IE 11,,,2019-05-27 15:32:13,2019-05-27 15:32:13,0.124s,PASSED
"click(findTestObject(""Bank_manage/Common_Use/homepage""))",IE 11,首頁總攬,,2019-05-27 15:32:13,2019-05-27 15:32:15,1.337s,PASSED
,,,,,,,
Test Cases/Bank_Manage/Store_Manage/FWP303W_Headquater_Info_Manage/FWP303W_Headquater_Info_Manage,IE 11,FWP303W總公司資料管理,,2019-05-27 15:32:15,2019-05-27 15:33:25,1m - 10.402s,PASSED
"""DB先進行資料update動作""",IE 11,,,2019-05-27 15:32:15,2019-05-27 15:32:15,0.002s,PASSED
"""可以用總公司統編當條件，把關聯的總公司-特店-分店-端末-使用者清除""",IE 11,,,2019-05-27 15:32:15,2019-05-27 15:32:15,0.000s,PASSED
"com.database.sql.connectDB(""192.168.30.94"", ""1433"", ""ewallet_mega_phase1"", ""sa"", ""1qaz@WSX3edc"")",IE 11,請將統編53920879替換為欲清除的總公司統編，需依序執行。,,2019-05-27 15:32:15,2019-05-27 15:32:16,1.051s,PASSED
"com.database.sql.execute(""delete from seller_master where se_company_id IN (select c_id from company where c_fein = '53920879')"")",IE 11,清除 seller_master,,2019-05-27 15:32:16,2019-05-27 15:32:17,0.354s,PASSED
"com.database.sql.execute(""delete from consumption_merchant_branch_term_audit where cmbta_cmba_id IN (select cmba_id from consumption_merchant_branch_audit where cmba_cma_id IN (select cma_id from consumption_merchant_audit where cma_merchant_tmp_id IN (select cm_id from consumption_merchant where cm_company_id IN (select c_id from company where c_fein = '53920879'))))"")",IE 11,清除 consumption_merchant_branch_term_audit,,2019-05-27 15:32:17,2019-05-27 15:32:17,0.295s,PASSED
"com.database.sql.execute(""delete from consumption_merchant_branch_term where cmbt_cmb_id IN (select cmb_id from consumption_merchant_branch where cmb_merchant_id IN (select cm_id from consumption_merchant where cm_company_id IN (select c_id from company where c_fein = '53920879')))"")",IE 11,清除 consumption_merchant_branch_term,,2019-05-27 15:32:17,2019-05-27 15:32:17,0.120s,PASSED
